Nama,Harga,Terjual,Kota,Link
Pupuk Kalsium plus Boron Supercals 900 1kg,Rp16.000,8 Terjual,KAB. BIREUEN,https://shopee.co.id/Pupuk-Kalsium-plus-Boron-Supercals-900-1kg-i.42186154.23520051518?sp_atk=401b8e7b-8b88-47fc-9008-61030f36bdfc&xptdk=401b8e7b-8b88-47fc-9008-61030f36bdfc
PUPUK CALSIUM POWER CAMB 1200 MESH KEMASAN 1 KG,Rp17.350,4 Terjual,KAB. KLATEN,https://shopee.co.id/PUPUK-CALSIUM-POWER-CAMB-1200-MESH-KEMASAN-1-KG-i.165129674.17702962880?sp_atk=1f586283-4116-47e3-bfbc-4ec9ec2d3f0c&xptdk=1f586283-4116-47e3-bfbc-4ec9ec2d3f0c
Calsium Blue Feltilizer plus Boron Kemasan 1kg Serbuk Biru,Rp25.000,1 Terjual,KAB. KEDIRI,https://shopee.co.id/Calsium-Blue-Feltilizer-plus-Boron-Kemasan-1kg-Serbuk-Biru-i.168776607.21772422676?sp_atk=c37c0758-f94f-44cd-bfe8-76c667432180&xptdk=c37c0758-f94f-44cd-bfe8-76c667432180
Calsium super cap Kumbang 1kg,Rp10.000,25 Terjual,KAB. JEMBER,https://shopee.co.id/Calsium-super-cap-Kumbang-1kg-i.297265285.19372104131?sp_atk=fa6c8428-d4fe-499f-bdb6-51b313cc4bd0&xptdk=fa6c8428-d4fe-499f-bdb6-51b313cc4bd0
Pupuk manohara 1 kg pupuk kalsium boron,Rp18.000,,KOTA MALANG,https://shopee.co.id/Pupuk-manohara-1-kg-pupuk-kalsium-boron-i.343968163.22421639904?sp_atk=e07f6a87-5e46-4a24-a0d9-f3aa9f01aa6a&xptdk=e07f6a87-5e46-4a24-a0d9-f3aa9f01aa6a
KARATE PLUS BORONI repack 1kg / Pupuk BORON / kalsium nitrat,Rp16.900 - Rp17.500,232 Terjual,KAB. KULON PROGO,https://shopee.co.id/KARATE-PLUS-BORONI-repack-1kg-Pupuk-BORON-kalsium-nitrat-i.30561193.3853857314?sp_atk=fd200f8d-8a0e-49dc-a389-4c8e54285707&xptdk=fd200f8d-8a0e-49dc-a389-4c8e54285707
BESTCALCIUM SL Pupuk Kalsium Cair BestCalsium 400ML Buatan Germany,Rp79.000,,KOTA MALANG,https://shopee.co.id/BESTCALCIUM-SL-Pupuk-Kalsium-Cair-BestCalsium-400ML-Buatan-Germany-i.161033569.3493079243?sp_atk=773e837a-8340-4a49-96b4-e6a42a2a2b57&xptdk=773e837a-8340-4a49-96b4-e6a42a2a2b57
Pupuk Kalsium MILAGROW Kemasan 1kg Mencegah Rontok dan Busuk,Rp19.900,445 Terjual,KAB. BOGOR,https://shopee.co.id/Pupuk-Kalsium-MILAGROW-Kemasan-1kg-Mencegah-Rontok-dan-Busuk-i.339500554.22225702300?sp_atk=19776a8c-4555-4be6-98e7-f7f25bde66ac&xptdk=19776a8c-4555-4be6-98e7-f7f25bde66ac
Pupuk Manohara Kalsium Boron Kemasan 1 kg,Rp22.000,57 Terjual,KOTA PALEMBANG,https://shopee.co.id/Pupuk-Manohara-Kalsium-Boron-Kemasan-1-kg-i.473892269.21666206545?sp_atk=8d478d2e-d095-43ad-9621-f6558fbdd3b7&xptdk=8d478d2e-d095-43ad-9621-f6558fbdd3b7
Pupuk Kalsium Suprecals 900 Boron isi 1kg,Rp14.000,165 Terjual,KOTA MEDAN,https://shopee.co.id/Pupuk-Kalsium-Suprecals-900-Boron-isi-1kg-i.260782251.3535087468?sp_atk=30bf4654-2fd4-4cc2-9c05-168680cf1363&xptdk=30bf4654-2fd4-4cc2-9c05-168680cf1363
Cal Ha 1Kg calha Pupuk Kalsium Organik Plus Asam Humat Calcium Humic Acid Calha,Rp28.000,613 Terjual,KAB. KENDAL,https://shopee.co.id/Cal-Ha-1Kg-calha-Pupuk-Kalsium-Organik-Plus-Asam-Humat-Calcium-Humic-Acid-Calha-i.18401868.18335548101?sp_atk=a5d1bf91-82fc-4a30-b8e8-b4bd58a41d16&xptdk=a5d1bf91-82fc-4a30-b8e8-b4bd58a41d16
Pupuk cegah rontok Calsium MANOHARA Original 1kg Calsium Boron Fertilizer,Rp8.000 - Rp21.500,10 Terjual,KOTA JAKARTA SELATAN,https://shopee.co.id/Pupuk-cegah-rontok-Calsium-MANOHARA-Original-1kg-Calsium-Boron-Fertilizer-i.129906701.18668044127?sp_atk=b82f2e28-9936-43d1-9645-53b31bfdab5d&xptdk=b82f2e28-9936-43d1-9645-53b31bfdab5d
